Location_Name,County,Operator,Type,Address,City,State_province,Zip,Country_ISO3166_alpha2,Latitude,Longitude,Phone,URL,Languages,Devices_available,Accessibility,Clients,Public
"Memphis, TN",US,Med-Trans,"Memphis, TN","Memphis, TN",Memphis,TN,,,35.14902,-90.05163,,,EMS,Rotor,,,
"Memphis, TN",US,Med-Trans,"Memphis, TN","Memphis, TN",Memphis,TN,,,35.14902,-90.05163,,,EMS,Rotor,,,
"Milton, FL",US,Med-Trans,"Milton, FL","Milton, FL",Milton,FL,,,30.63241,-87.03969,,,EMS,Rotor,,,
"Nashville, TN",US,Med-Trans,"Nashville, TN","Nashville, TN",Nashville,TN,,,36.16223,-86.77435,,,EMS,Rotor,,,
"Olathe, KS",US,Med-Trans,"Olathe, KS","Olathe, KS",Olathe,KS,,,38.88439,-94.81611,,,EMS,Rotor,,,
"Oxford, MS",US,Med-Trans,"Oxford, MS","Oxford, MS",Oxford,MS,,,34.36641,-89.51877,,,EMS,Rotor,,,
"Perry, FL",US,Med-Trans,"Perry, FL","Perry, FL",Perry,FL,,,30.11744,-83.58181,,,EMS,Rotor,,,
"Saginaw, MI",US,Med-Trans,"Saginaw, MI","Saginaw, MI",Saginaw,MI,,,43.42004,-83.94904,,,EMS,Rotor,,,
"San Angelo, TX",US,Med-Trans,"San Angelo, TX","San Angelo, TX",San Angelo,TX,,,31.46484,-100.43984,,,EMS,Rotor,,,
"Scottsbluff, NE",US,Med-Trans,"Scottsbluff, NE","Scottsbluff, NE",Scottsbluff,NE,,,41.86663,-103.66717,,,EMS,Rotor,,,
"Selmar, TN",US,Med-Trans,"Selmar, TN","Selmar, TN",Selmar,TN,,,35.17010,-88.59230,,,EMS,Rotor,,,
"Seminole, TX",US,Med-Trans,"Seminole, TX","Seminole, TX",Seminole,TX,,,32.71899,-102.64491,,,EMS,Rotor,,,
"Spartanburg, SC",US,Med-Trans,"Spartanburg, SC","Spartanburg, SC",Spartanburg,SC,,,34.94980,-81.93202,,,EMS,Rotor,,,
"St. Augustine, FL",US,Med-Trans,"St. Augustine, FL","St. Augustine, FL",St. Augustine,FL,,,29.89470,-81.31454,,,EMS,Rotor,,,
"St. David, AZ",US,Med-Trans,"St. David, AZ","St. David, AZ",St. David,AZ,,,31.89385,-110.22081,,,EMS,Rotor,,,
"St. Petersburg, FL",US,Med-Trans,"St. Petersburg, FL","St. Petersburg, FL",St. Petersburg,FL,,,27.77038,-82.66951,,,EMS,Rotor,,,
"Sumter, SC",US,Med-Trans,"Sumter, SC","Sumter, SC",Sumter,SC,,,33.92044,-80.34147,,,EMS,Rotor,,,
"Sweetwater, TN",US,Med-Trans,"Sweetwater, TN","Sweetwater, TN",Sweetwater,TN,,,35.60146,-84.46104,,,EMS,Rotor,,,
"Winchester, TN",US,Med-Trans,"Winchester, TN","Winchester, TN",Winchester,TN,,,35.18599,-86.11184,,,EMS,Rotor,,,
"Yulee, FL",US,Med-Trans,"Yulee, FL","Yulee, FL",Yulee,FL,,,30.62785,-81.59023,,,EMS,Rotor,,,
Louisville Muhammad Ali International Airport,US,"Mesa, Republic, Ameriflight, UPS",KSDF,"Louisville, KY",Louisville,KY,,,38.17440,-85.73600,,,"Regional, Cargo",Fixed-Wing,,,
"Norfolk, VA",US,Metro Aviation,"Norfolk, VA","Norfolk, VA",Norfolk,VA,,,36.88899,-76.24816,,,EMS,Rotor,,,
Willow Run Airport,US,National,KYIP,"Van Buren, MI",Van Buren,MI,,,42.23790,-83.53040,,,Cargo,Fixed-Wing,,,
"Sylvania Heights, VA",US,PHI Air Medical,KEZF,"Sylvania Heights, VA",Sylvania Heights,VA,,,38.26705,-77.44850,,,EMS,Rotor,,,
"Highland Park, VA",US,PHI Air Medical,KFRR,"Highland Park, VA",Highland Park,VA,,,38.91737,-78.25473,,,EMS,Rotor,,,
Grants-Milan Municipal Airport,US,PHI Air Medical,KGNT,"Grants, NM",Grants,NM,,,35.16728,-107.90206,,,EMS,Rotor,,,
"Manassas, VA",US,PHI Air Medical,KHEF,"Manassas, VA",Manassas,VA,,,38.72253,-77.51525,,,EMS,Rotor,,,
"Leesburg, VA",US,PHI Air Medical,KJYO,"Leesburg, VA",Leesburg,VA,,,39.07638,-77.55665,,,EMS,Rotor,,,
Lynchburg Regional Preston Glenn Field,US,PHI Air Medical,KLYH,"Lynchburg, VA",Lynchburg,VA,,,37.32217,-79.20660,,,EMS,Rotor,,,
Socorro Municipal Airport,US,PHI Air Medical,KONM,"Socorro, NM",Socorro,NM,,,34.02247,-106.90314,,,EMS,Rotor,,,
Shenandoah Valley Regional Airport,US,PHI Air Medical,KSHD,"Weyers Cave, VA",Weyers Cave,VA,,,38.26253,-78.89996,,,EMS,Rotor,,,
"Rio Rancho, NM",US,PHI Air Medical,"Rio Rancho, NM","Rio Rancho, NM",Rio Rancho,NM,,,35.23338,-106.66447,,,EMS,Rotor,,,
Tranton Mercer Airport,US,Pray Aviation,KTTN,"Trenton, NJ",Trenton,NJ,,,40.27669,-74.81347,,,Pilot Training,Fixed Wing,,,
John Glenn Columbus International Airport,US,Republic,KCMH,"Columbus, OH",Columbus,OH,,,39.99800,-82.89190,,,Regional,Fixed-Wing,,,
Charlottesville Albemarle Airport,US,SevenBar,KCHO,"Deerwood, VA",Deerwood,VA,,,38.14101,-78.45247,,,EMS,Rotor,,,
Luis Munoz Marin International Airport,US,"Silver, Ameriflight",TJSJ,"San Juan, PR",San Juan,PR,,,18.43940,-66.00180,,,"Regional, Cargo",Fixed-Wing,,,
Fort Worth Alliance Airport,US,"Silver, Empire",KAFW,"Fort Worth, TX",Fort Worth,TX,,,32.98760,-97.31880,,,"Regional, Cargo",Fixed-Wing,,,
City of Colorado Springs Municipal Airport,US,SkyWest,KCOS,"Colorado Springs, CO",Colorado Springs,CO,,,38.80580,-104.70100,,,Regional,Fixed-Wing,,,
Fresno Yosemite International Airport,US,SkyWest,KFAT,"Fresno, CA",Fresno,CA,,,36.77620,-119.71800,,,Regional,Fixed-Wing,,,
Palm Springs International Airport,US,SkyWest,KPSP,"Palm Springs, CA",Palm Springs,CA,,,33.82970,-116.50700,,,Regional,Fixed-Wing,,,
San Diego International Airport,US,SkyWest,KSAN,"San Diego, CA",San Diego,CA,,,32.73360,-117.19000,,,Regional,Fixed-Wing,,,
Tucson International Airport,US,SkyWest,KTUS,"Tucson, AZ",Tucson,AZ,,,32.11500,-110.93805,,,Regional,Fixed-Wing,,,
Baltimore/Washington International Thurgood Marshall Airport,US,Southwest,KBWI,"Homeland Park, MD",Homeland Park,MD,,,39.17540,-76.66830,,,Major,Fixed-Wing,,,
Dallas Love Field,US,Southwest,KDAL,"Dallas, TX",Dallas,TX,,,32.84710,-96.85180,,,Major,Fixed-Wing,,,
William P Hobby Airport,US,Southwest,KHOU,"Houston, TX",Houston,TX,,,29.64540,-95.27890,,,Major,Fixed-Wing,,,
Chicago Midway International Airport,US,Southwest,KMDW,"Chicago, IL",Chicago,IL,,,41.78600,-87.75240,,,Major,Fixed-Wing,,,
Metropolitan Oakland International Airport,US,"Southwest, FedEx",KOAK,"Oakland, CA",Oakland,CA,,,37.72130,-122.22100,,,"Major, Cargo",Fixed-Wing,,,
Atlantic City International Airport,US,Spirit,KACY,"Egg Harbor Township, NJ",Egg Harbor Township,NJ,,,39.45760,-74.57720,,,Major,Fixed-Wing,,,
Cleveland Hopkins International Airport,US,United,KCLE,"Cleveland, OH",Cleveland,OH,,,41.41170,-81.84980,,,Legacy,Fixed-Wing,,,
Guam International Airport,US,United,PGUM,"Barrigada Municipality, Guam",Barrigada Municipality,Guam,,,13.48548,144.79854,,,Legacy,Fixed-Wing,,,
Washington Dulles International Airport,US,"United, Air Wisconsin, CommutAir, Mesa",KIAD,"Washington, D.C.",Washington,DC,,,38.94450,-77.45580,,,"Legacy, Regional",Fixed-Wing,,,
George Bush Intercontinental Houston Airport,US,"United, CommutAir, Mesa, SkyWest",KIAH,"Houston, TX",Houston,TX,,,29.98440,-95.34140,,,"Legacy, Regional",Fixed-Wing,,,
Denver International Airport,US,"United, Frontier, Southwest, CommutAir, SkyWest",KDEN,"Denver, CO",Denver,CO,,,39.86170,-104.67300,,,"Legacy, Major, Regional",Fixed-Wing,,,
Newark Liberty International Airport,US,"United, JetBlue, GoJet, Republic",KEWR,"Newark, NJ",Newark,NJ,,,40.69250,-74.16870,,,"Legacy, Major, Regional",Fixed-Wing,,,
13th Reconnaissance Squadron,US,US Air Force Reserve,,"Beale Air Force Base, CA",Beale Air Force Base,CA,,,,,,,,Fixed-Wing,,RQ-4,
18th Air Refueling Squadron,US,US Air Force Reserve,,"McConnell AFB, KS",McConnell AFB,KS,,,,,,,,Fixed-Wing,,"KC-46, KC-135",
2nd Special Operations Squadron,US,US Air Force Reserve,,"Hurlburt Field, FL",Hurlburt Field,FL,,,,,,,,Fixed-Wing,,MQ-9,
300th Airlift Squadron,US,US Air Force Reserve,,"Joint Base Charleston, SC",Joint Base Charleston,SC,,,,,,,,Fixed-Wing,,C-17,
301st Airlift Squadron,US,US Air Force Reserve,,"Travis Air Force Base, CA",Travis Air Force Base,CA,,,,,,,,Fixed-Wing,,C-17,
301st Fighter Squadron,US,US Air Force Reserve,,"Tyndall Air Force Base, FL",Tyndall Air Force Base,FL,,,,,,,,Fixed-Wing,,F-22,
301st Rescue Squadron,US,US Air Force Reserve,,"Patrick Air Force Base, FL",Patrick Air Force Base,FL,,,,,,,,Fixed-Wing,,HH-60,
302nd Fighter Squadron,US,US Air Force Reserve,,"Joint Base Elmendorf-Richardson, AK",Joint Base Elmendorf-Richardson,AK,,,,,,,,Fixed-Wing,,F-22,
303rd Fighter Squadron,US,US Air Force Reserve,,"Whiteman Air Force Base, MO",Whiteman Air Force Base,MO,,,,,,,,Fixed-Wing,,A-10,
305th Rescue Squadron,US,US Air Force Reserve,,"Davis-Monthan Air Force Base, AZ",Davis-Monthan Air Force Base,AZ,,,,,,,,Fixed-Wing,,HH-60,
307th Fighter Squadron,US,US Air Force Reserve,,"Seymour Johnson AFB, NC",Seymour Johnson AFB,NC,,,,,,,,Fixed-Wing,,F-15,
312th Airlift Squadron,US,US Air Force Reserve,,"Travis Air Force Base, CA",Travis Air Force Base,CA,,,,,,,,Fixed-Wing,,C-5,
313th Airlift Squadron,US,US Air Force Reserve,,"Joint Base Lewis-McChord, WA",Joint Base Lewis-McChord,WA,,,,,,,,Fixed-Wing,,C-17,
314th Air Refueling Squadron,US,US Air Force Reserve,,"Beale Air Force Base, CA",Beale Air Force Base,CA,,,,,,,,Fixed-Wing,,KC-135,
317th Airlift Squadron,US,US Air Force Reserve,,"Joint Base Charleston, SC",Joint Base Charleston,SC,,,,,,,,Fixed-Wing,,C-17,
326th Airlift Squadron,US,US Air Force Reserve,,"Dover Air Force Base, DE",Dover Air Force Base,DE,,,,,,,,Fixed-Wing,,C-17,
327th Airlift Squadron,US,US Air Force Reserve,,"Little Rock Air Force Base, AR",Little Rock Air Force Base,AZ,,,,,,,,Fixed-Wing,,C-130,
328th Air Refueling Squadron,US,US Air Force Reserve,,"Niagara Falls Air Reserve Station, NY",Niagara Falls Air Reserve Station,NY,,,,,,,,Fixed-Wing,,KC-135,
336th Air Refueling Squadron,US,US Air Force Reserve,,"March Air Reserve Base, CA",March Air Reserve Base,CA,,,,,,,,Fixed-Wing,,KC-135,
337th Airlift Squadron,US,US Air Force Reserve,,"Westover Air Reserve Base, MA",Westover Air Reserve Base,MA,,,,,,,,Fixed-Wing,,C-5,
343rd Bomb Squadron,US,US Air Force Reserve,,"Barksdale Air Force Base, LA",Barksdale Air Force Base,LA,,,,,,,,Fixed-Wing,,B-52,
345th Bomb Squadron,US,US Air Force Reserve,,"Dyess Air Force Base, TX",Dyess Air Force Base,TX,,,,,,,,Fixed-Wing,,B-1,
356th Airlift Squadron,US,US Air Force Reserve,,"Joint Base San Antonio-Lackland, TX",Joint Base San Antonio-Lackland,TX,,,,,,,,Fixed-Wing,,C-5,
357th Airlift Squadron,US,US Air Force Reserve,,"Maxwell Air Force Base, AL",Maxwell Air Force Base,AL,,,,,,,,Fixed-Wing,,C-130,
39th Rescue Squadron,US,US Air Force Reserve,,"Patrick Air Force Base, FL",Patrick Air Force Base,FL,,,,,,,,Fixed-Wing,,HC-130,
429th Attack Squadron,US,US Air Force Reserve,,"Holloman Air Force Base, NM",Holloman Air Force Base,NM,,,,,,,,Fixed-Wing,,MQ-9,
457th Fighter Squadron,US,US Air Force Reserve,,"Joint Reserve Base Fort Worth, TX",Joint Reserve Base Fort Worth,TX,,,,,,,,Fixed-Wing,,F-16,
465th Air Refueling Squadron,US,US Air Force Reserve,,"Tinker Air Force Base, OK",Tinker Air Force Base,OK,,,,,,,,Fixed-Wing,,KC-135,
466th Fighter Squadron,US,US Air Force Reserve,,"Hill Air Force Base, UT",Hill Air Force Base,UT,,,,,,,,Fixed-Wing,,F-35,
47th Fighter Squadron,US,US Air Force Reserve,,"Davis-Monthan Air Force Base, AZ",Davis-Monthan Air Force Base,AZ,,,,,,,,Fixed-Wing,,A-10,
53rd Weather Reconnaissance Squadron,US,US Air Force Reserve,,"Keesler Air Force Base, MS",Keesler Air Force Base,MS,,,,,,,,Fixed-Wing,,QC-130,
5th Special Operations Squadron,US,US Air Force Reserve,,"Hurlburt Field, FL",Hurlburt Field,FL,,,,,,,,Fixed-Wing,,AC-130,
5th Special Operations Squadron,US,US Air Force Reserve,,"Hurlburt Field, FL",Hurlburt Field,FL,,,,,,,,Fixed-Wing,,MC-130,
5th Special Operations Squadron,US,US Air Force Reserve,,"Hurlburt Field, FL",Hurlburt Field,FL,,,,,,,,Fixed-Wing,,U-28,
63rd Air Refueling Squadron,US,US Air Force Reserve,,"MacDill Air Force Base, FL",MacDill Air Force Base,FL,,,,,,,,Fixed-Wing,,KC-135,
68th Airlift Squadron,US,US Air Force Reserve,,"Joint Base San Antonio, TX",Joint Base San Antonio,TX,,,,,,,,Fixed-Wing,,C-5,
69th Fighter Squadron,US,US Air Force Reserve,,"Luke Air Force Base, AZ",Luke Air Force Base,AZ,,,,,,,,Fixed-Wing,,F-16,
69th Fighter Squadron,US,US Air Force Reserve,,"Luke Air Force Base, AZ",Luke Air Force Base,AZ,,,,,,,,Fixed-Wing,,F-35,
700th Airlift Squadron,US,US Air Force Reserve,,"Dobbins Air Reserve Base, GA",Dobbins Air Reserve Base,GA,,,,,,,,Fixed-Wing,,C-130,
701st Airlift Squadron,US,US Air Force Reserve,,"Joint Base Charleston, SC",Joint Base Charleston,SC,,,,,,,,Fixed-Wing,,C-17,
706th Fighter Squadron,US,US Air Force Reserve,,"Nellis Air Force Base, NV",Nellis Air Force Base,NV,,,,,,,,Fixed-Wing,,F-16,
709th Airlift Squadron,US,US Air Force Reserve,,"Dover Air Force Base, DE",Dover Air Force Base,DE,,,,,,,,Fixed-Wing,,C-5,
70th Air Refueling Squadron,US,US Air Force Reserve,,"Travis AFB, CA",Travis AFB,CA,,,,,,,,Fixed-Wing,,KC-10,
711th Special Operations Squadron,US,US Air Force Reserve,,"Duke Field, FL",Duke Field,FL,,,,,,,,Fixed-Wing,,AC-208,
711th Special Operations Squadron,US,US Air Force Reserve,,"Duke Field, FL",Duke Field,FL,,,,,,,,Fixed-Wing,,C-145,
728th Airlift Squadron,US,US Air Force Reserve,,"Joint Base Lewis-McChord, WA",Joint Base Lewis-McChord,WA,,,,,,,,Fixed-Wing,,C-17,
729th Airlift Squadron,US,US Air Force Reserve,,"March Air Reserve Base, CA",March Air Reserve Base,CA,,,,,,,,Fixed-Wing,,C-17,
72nd Air Refueling Squadron,US,US Air Force Reserve,,"Grissom Air Reserve Base, IN",Grissom Air Reserve Base,IN,,,,,,,,Fixed-Wing,,KC-135,
731st Airlift Squadron,US,US Air Force Reserve,,"Peterson Air Force Base, CO",Peterson Air Force Base,CO,,,,,,,,Fixed-Wing,,C-130,
732nd Airlift Squadron,US,US Air Force Reserve,,"Joint Base McGuire-Dix-Lakehurst, NJ",Joint Base McGuire-Dix-Lakehurst,NJ,,,,,,,,Fixed-Wing,,C-17,
73rd Airlift Squadron,US,US Air Force Reserve,,"Scott AFB, IL",Scott AFB,IL,,,,,,,,Fixed-Wing,,C-40,
74th Air Refueling Squadron,US,US Air Force Reserve,,"Grissom Air Reserve Base, IN",Grissom Air Reserve Base,IN,,,,,,,,Fixed-Wing,,KC-135,
756 Air Refueling Squadron,US,US Air Force Reserve,,"Joint Base Andrews, MD",Joint Base Andrews,MD,,,,,,,,Fixed-Wing,,KC-135,
757th Airlift Squadron,US,US Air Force Reserve,,"Youngstown-Warren Air Reserve Station, OH",Youngstown-Warren Air Reserve Station,OH,,,,,,,,Fixed-Wing,,C-130,
758th Airlift Squadron,US,US Air Force Reserve,,"Pittsburgh Air Reserve Station, PA",Pittsburgh Air Reserve Station,PA,,,,,,,,Fixed-Wing,,C-17,
76th Air Refueling Squadron,US,US Air Force Reserve,,"JB McGuire, NJ",JB McGuire,NJ,,,,,,,,Fixed-Wing,,KC-11,
76th Fighter Squadron,US,US Air Force Reserve,,"Moody Air Force Base, GA",Moody Air Force Base,GA,,,,,,,,Fixed-Wing,,A-10,
77th Air Refueling Squadron,US,US Air Force Reserve,,"Seymour Johnson AFB, NC",Seymour Johnson AFB,NC,,,,,,,,Fixed-Wing,,KC-135,
78th Air Refueling Squadron,US,US Air Force Reserve,,"JB McGuire, NJ",JB McGuire,NJ,,,,,,,,Fixed-Wing,,KC-12,
78th Attack Squadron,US,US Air Force Reserve,,"Creech Air Force Base, NV",Creech Air Force Base,NV,,,,,,,,Fixed-Wing,,MQ-9,
79th Air Refueling Squadron,US,US Air Force Reserve,,"Travis AFB, CA",Travis AFB,CA,,,,,,,,Fixed-Wing,,KC-13,
815th Airlift Squadron,US,US Air Force Reserve,,"Keesler Air Force Base, MI",Keesler Air Force Base,MS,,,,,,,,Fixed-Wing,,C-130,
859th Special Operations Squadron,US,US Air Force Reserve,,"Duke Field, FL",Duke Field,FL,,,,,,,,Fixed-Wing,,C-146,
89th Airlift Squadron,US,US Air Force Reserve,,"Wright-Patterson Air Force Base, OH",Wright-Patterson Air Force Base,OH,,,,,,,,Fixed-Wing,,C-17,
905th Air Refueling Squadron,US,US Air Force Reserve,,"McConnell AFB, KS",McConnell AFB,KS,,,,,,,,Fixed-Wing,,KC-47,
91st Attack Squadron,US,US Air Force Reserve,,"Creech Air Force Base, NV",Creech Air Force Base,NV,,,,,,,,Fixed-Wing,,MQ-9,
924th Air Refueling Squadron,US,US Air Force Reserve,,"McConnell AFB, KS",McConnell AFB,KS,,,,,,,,Fixed-Wing,,KC-48,
93rd Bomb Squadron,US,US Air Force Reserve,,"Barksdale Air Force Base, LA",Barksdale Air Force Base,LA,,,,,,,,Fixed-Wing,,B-52,
93rd Fighter Squadron,US,US Air Force Reserve,,"Homestead Air Reserve Base, FL",Homestead Air Reserve Base,FL,,,,,,,,Fixed-Wing,,F-16,
96th Airlift Squadron,US,US Air Force Reserve,,"Minneapolis-St Paul Air Reserve Station, MN",Minneapolis-St Paul Air Reserve Station,MN,,,,,,,,Fixed-Wing,,C-130,
970th Airborne Air Control Squadron,US,US Air Force Reserve,,"Tinker AFB, OK",Tinker AFB,OK,,,,,,,,Fixed-Wing,,E-3,
97th Airlift Squadron,US,US Air Force Reserve,,"Joint Base Lewis-McChord, WA",Joint Base Lewis-McChord,WA,,,,,,,,Fixed-Wing,,C-17,
"Barnes, MA",US,US Air National Guard,,"Barnes, MA",Barnes,MA,,,31.46795,-85.11882,,,Military,Fixed Wing,,,
Calder Street,US,US Army National Guard,,"Harrisburg,PA",Harrisburg,PA,,,40.2663107,-76.88611,,,,,,,
Camp Hartell,US,US Army National Guard,,"Windsor Locks,CT",Windsor Locks,CT,,,41.9229568,-72.65980,,,,,,CH-47F,
Duncan Armory,US,US Army National Guard,,"New Castle,DE",New Castle,DE,,,39.6159851,-75.66296,,,,,,UH-60L,
Fort Indiantown Gap/Muir AAF,US,US Army National Guard,,"Annville,PA",Annville,PA,,,40.3295901,-76.51523,,,,,,"CH-47F, UH-60L",
Grubbs Kyle Armory,US,US Army National Guard,,"Smyrna,TN",Smyrna,TN,,,35.9828413,-86.51860,,,,,,,
Grubbs Kyle Armory,US,US Army National Guard,,"Smyrna,TN",Smyrna,TN,,,35.9828413,-86.51860,,,,,,,
Lonestar AP,US,US Army National Guard,,"Conroe,TX",Conroe,TX,,,30.3118769,-95.45605,,,,,,AH-64D,
McEntire ANGB,US,US Army National Guard,,"Eastover,SC",Eastover,SC,,,33.8771147,-80.69226,,,,,,AH-64D,
Mercer County AP,US,US Army National Guard,,"West Trenton,NJ",West Trenton,NJ,,,40.263997,-74.81850,,,,,,UH-60,
Richard Av,US,US Army National Guard,,"Wheeling,WV",Wheeling,WV,,,40.0639616,-80.72091,,,,,,UH-60L,
Washington AP,US,US Army National Guard,,"Johnstown,PA",Johnstown,PA,,,40.3267407,-78.92197,,,,,,UH-60A,
Williamstown AP,US,US Army National Guard,,"Williamstown,WV",Williamstown,WV,,,39.4000046,-81.44885,,,,,,UH-60A,
"Annville, PA",US,US Army Reserve,,"Annville, PA",Annville,PA,,,40.3295901,-76.51523,,,,,,,
"Austin, TX",US,US Army Reserve,,"Austin, TX",Austin,TX,,,30.2711286,-97.74370,,,,,,,
"Baltimore, MD",US,US Army Reserve,,"Baltimore, MD",Baltimore,MD,,,39.2908816,-76.61076,,,,,,,
"Clearwater, FL",US,US Army Reserve,,"Clearwater, FL",Clearwater,FL,,,27.96585,-82.80010,,,Military,"Fixed-Wing, Rotor",,,
"Colorado Springs, CO",US,US Army Reserve,,"Colorado Springs, CO",Colorado Springs,CO,,,38.8339578,-104.82535,,,,,,,
"Colorado Springs, CO",US,US Army Reserve,,"Colorado Springs, CO",Colorado Springs,CO,,,38.8339578,-104.82535,,,,,,,
"Conroe, TX",US,US Army Reserve,,"Conroe, TX",Conroe,TX,,,30.31188,-95.45605,,,Military,Rotor,,,
"Del Valle, TX",US,US Army Reserve,,"Del Valle, TX",Del Valle,TX,,,45.7691892,-97.55668,,,,,,,
"Dobbins AFB, GA",US,US Army Reserve,,"Dobbins AFB, GA",Dobbins AFB,GA,,,33.9178438,-84.50914,,,,,,,
"Dobbins Air Force Base, GA",US,US Army Reserve,,"Dobbins Air Force Base, GA",Dobbins Air Force Base,GA,,,33.91784,-84.50914,,,Military,Fixed Wing,,,
"Fort Worth, TX",US,US Army Reserve,,"Fort Worth, TX",Fort Worth,TX,,,32.75318,-97.33275,,,Military,Fixed Wing,,,
"Ft. Bragg, NC",US,US Army Reserve,,"Ft. Bragg, NC",Ft. Bragg,NC,,,35.14228,-78.99873,,,Military,Fixed Wing,,,
"Ft. Carson, CO",US,US Army Reserve,,"Ft. Carson, CO",Ft. Carson,CO,,,38.74154,-104.77947,,,Military,Rotor,,,
"Ft. Dix, NJ",US,US Army Reserve,,"Ft. Dix, NJ",Ft. Dix,NJ,,,40.0301105,-74.62017,,,,,,,
"Ft. Eustis, VA",US,US Army Reserve,,"Ft. Eustis, VA",Ft. Eustis,VA,,,37.12589,-76.59977,,,Military,Rotor,,,
"Ft. Hood, TX",US,US Army Reserve,,"Ft. Hood, TX",Ft. Hood,TX,,,31.20144,-97.77176,,,Military,Rotor,,,
"Ft. Knox, KY",US,US Army Reserve,,"Ft. Knox, KY",Ft. Knox,KY,,,37.88967,-85.96642,,,Military,Rotor,,,
"Ft. Lewis, WA",US,US Army Reserve,,"Ft. Lewis, WA",Ft. Lewis,WA,,,47.10869,-122.55498,,,Military,Rotor,,,
"Ft. Rucker, AL",US,US Army Reserve,,"Ft. Rucker, AL",Ft. Rucker,AL,,,31.45141,-85.78393,,,Military,Fixed Wing,,,
"JB McGuire-Dix-Lakehurst, NJ",US,US Army Reserve,,"JB McGuire-Dix-Lakehurst, NJ",JB McGuire,NJ,,,,,,,,,,,
"Johnstown, PA",US,US Army Reserve,,"Johnstown, PA",Johnstown,PA,,,40.3267407,-78.92197,,,,,,,
"Los Alamitos, CA",US,US Army Reserve,,"Los Alamitos, CA",Los Alamitos,CA,,,33.80389,-118.07724,,,Military,"Fixed-Wing, Rotor",,,
"New Century, KS",US,US Army Reserve,,"New Century, KS",New Century,KS,,,38.8352985,-94.89535,,,,,,,
"Olathe, KS",US,US Army Reserve,,"Olathe, KS",Olathe,KS,,,38.88439,-94.81611,,,Military,Rotor,,,
"MacGuire Air Force Base, NJ",US,,KWRI,"Wrightstown, NJ",Wrightstown,NJ,,,40.01558,-74.59170,,,US Army Reserve,Fixed Wing,,,
Fernando Luis San Juan (KSJU),US,,TJIG,"Carolina, PR",Carolina,PR,,,18.43662,-66.00084,,,,,,,